Redshift,K-band mag,K-band dmag
 0.192, 21.367, 0.482
 0.125, 21.551, 0.551
 0.026, 18.585, 0.046
 0.192, 17.695, 0.020
 0.177, 21.158, 0.411
 0.191, 19.832, 0.138
 0.060, 19.216, 0.081
 0.115, 21.029, 0.372
 0.107, 21.287, 0.453
 0.145, 20.832, 0.319
 0.150, 21.527, 0.542
 0.016, 18.097, 0.029
 0.191, 20.248, 0.197
 0.133, 20.356, 0.216
 0.177, 19.952, 0.153
 0.101, 18.869, 0.059
 0.179, 15.061, 0.002
 0.162, 20.415, 0.227
 0.157, 21.910, 0.709
 0.177, 21.258, 0.444
 0.193, 16.655, 0.008
 0.133, 21.005, 0.365
 0.162, 19.034, 0.069
 0.129, 21.408, 0.496
 0.099, 21.132, 0.403
 0.024, 19.289, 0.086
 0.131, 15.737, 0.003
 0.085, 21.961, 0.733
 0.112, 21.850, 0.680
 0.126, 20.273, 0.201
 0.165, 19.930, 0.150
 0.182, 21.562, 0.555
 0.143, 20.962, 0.353
 0.175, 21.491, 0.528
 0.162, 17.459, 0.016
 0.154, 20.763, 0.301
 0.142, 21.171, 0.415
 0.109, 21.099, 0.393
 0.174, 21.355, 0.477
 0.192, 20.857, 0.325
 0.168, 18.725, 0.052
 0.164, 16.808, 0.009
 0.138, 21.252, 0.442
 0.102, 20.342, 0.213
 0.126, 20.882, 0.332
 0.177, 19.948, 0.153
 0.076, 19.145, 0.076
 0.162, 16.067, 0.005
 0.154, 21.554, 0.552
 0.153, 20.049, 0.167
 0.054, 20.837, 0.320
 0.121, 20.793, 0.309
 0.180, 21.136, 0.404
 0.114, 21.901, 0.704
 0.117, 20.009, 0.161
 0.075, 21.141, 0.406
 0.036, 20.781, 0.306
 0.161, 16.411, 0.006
 0.160, 21.612, 0.576
 0.151, 21.088, 0.390
 0.180, 14.056, 0.001
 0.199, 19.369, 0.092
 0.157, 21.932, 0.719
 0.073, 18.882, 0.060
 0.140, 21.100, 0.393
 0.185, 19.723, 0.126
 0.176, 21.967, 0.736
 0.119, 18.559, 0.045
 0.180, 21.168, 0.415
 0.102, 21.508, 0.534
 0.103, 21.690, 0.608
 0.161, 20.876, 0.330
 0.159, 17.471, 0.017
 0.037, 20.957, 0.352
 0.149, 21.875, 0.692
 0.165, 21.294, 0.456
 0.179, 18.088, 0.029
 0.166, 21.965, 0.735
 0.103, 19.749, 0.129
 0.119, 17.620, 0.019
 0.160, 21.229, 0.434
 0.172, 21.635, 0.585
 0.042, 21.824, 0.668
 0.193, 21.586, 0.565
 0.098, 16.215, 0.005
 0.118, 21.363, 0.480
 0.110, 21.792, 0.654
 0.157, 21.139, 0.405
 0.104, 21.402, 0.494
 0.048, 19.033, 0.068
 0.137, 20.600, 0.264
 0.124, 18.333, 0.036
 0.125, 15.483, 0.003
 0.058, 21.634, 0.585
 0.166, 21.676, 0.603
 0.190, 21.050, 0.378
 0.099, 20.624, 0.269
 0.067, 21.879, 0.694
 0.110, 18.738, 0.053
 0.131, 21.295, 0.456
 0.192, 19.651, 0.118
 0.170, 21.752, 0.636
 0.077, 16.844, 0.009
 0.188, 21.354, 0.477
 0.181, 21.837, 0.674
 0.176, 21.982, 0.744
 0.161, 13.415, 0.000
 0.076, 18.781, 0.055
 0.184, 21.184, 0.420
 0.192, 20.385, 0.221
 0.134, 20.664, 0.278
 0.047, 18.829, 0.057
 0.175, 19.180, 0.078
 0.038, 20.176, 0.186
 0.110, 15.861, 0.004
 0.057, 17.803, 0.023
 0.127, 21.077, 0.386
 0.121, 17.835, 0.023
 0.087, 21.076, 0.386
 0.175, 19.705, 0.124
 0.170, 21.132, 0.403
 0.132, 21.947, 0.726
 0.011, 18.552, 0.044
 0.145, 16.207, 0.005
 0.177, 21.486, 0.526
 0.076, 21.027, 0.372
 0.145, 19.151, 0.076
 0.181, 18.820, 0.057
 0.195, 21.745, 0.632
 0.072, 20.434, 0.230
 0.179, 20.936, 0.346
 0.109, 21.895, 0.701
 0.114, 19.072, 0.071
 0.171, 14.015, 0.001
 0.106, 21.595, 0.569
 0.060, 20.430, 0.230
 0.145, 20.262, 0.200
 0.190, 21.116, 0.398
 0.104, 19.022, 0.068
 0.144, 21.221, 0.432
 0.199, 20.472, 0.238
 0.042, 21.437, 0.507
 0.181, 21.090, 0.390
 0.127, 18.786, 0.055
 0.035, 19.899, 0.146
 0.197, 20.161, 0.183
 0.137, 21.712, 0.618
 0.160, 21.387, 0.489
 0.199, 21.314, 0.463
 0.118, 21.592, 0.568
 0.176, 19.494, 0.103
 0.133, 21.379, 0.486
 0.183, 21.742, 0.631
 0.183, 21.145, 0.407
 0.170, 20.237, 0.195
 0.076, 21.140, 0.406
 0.175, 21.006, 0.366
 0.152, 21.346, 0.474
 0.190, 21.542, 0.548
 0.093, 21.799, 0.657
 0.043, 19.408, 0.095
 0.119, 21.378, 0.485
 0.180, 13.080, 0.000
 0.172, 15.840, 0.004
 0.067, 21.696, 0.611
 0.183, 19.842, 0.139
 0.099, 20.506, 0.244
 0.083, 21.812, 0.663
 0.174, 21.621, 0.580
 0.187, 21.511, 0.535
 0.167, 21.114, 0.398
 0.168, 18.593, 0.046
 0.090, 21.790, 0.653
 0.073, 20.817, 0.315
 0.081, 21.339, 0.472
 0.052, 20.997, 0.363
 0.145, 16.700, 0.008
 0.104, 21.843, 0.677
 0.072, 20.113, 0.176
 0.088, 19.877, 0.144
 0.192, 16.286, 0.006
 0.199, 20.000, 0.160
 0.166, 19.969, 0.156
 0.097, 16.220, 0.005
 0.198, 21.444, 0.510
 0.109, 19.234, 0.082
 0.148, 19.068, 0.071
 0.101, 21.678, 0.604
 0.114, 16.187, 0.005
 0.127, 16.153, 0.005
 0.149, 20.595, 0.263
 0.170, 21.863, 0.686
 0.153, 21.900, 0.704
 0.124, 21.877, 0.693
 0.171, 21.560, 0.555
 0.160, 19.842, 0.139
 0.138, 19.501, 0.104
 0.110, 20.050, 0.167
 0.175, 20.597, 0.264
 0.127, 18.538, 0.044
 0.155, 17.726, 0.021
 0.164, 19.645, 0.117
 0.187, 20.417, 0.227
 0.128, 21.744, 0.632
 0.129, 14.346, 0.001
 0.197, 20.229, 0.194
 0.147, 21.916, 0.711
 0.147, 16.884, 0.010
 0.191, 21.691, 0.609
 0.126, 21.774, 0.645
 0.177, 18.615, 0.047
 0.105, 20.351, 0.215
 0.085, 21.929, 0.718
 0.142, 19.588, 0.112
 0.164, 20.729, 0.293
 0.123, 20.645, 0.274
 0.165, 20.006, 0.161
 0.105, 21.868, 0.688
 0.168, 20.567, 0.257
 0.042, 20.939, 0.347
 0.157, 20.891, 0.334
 0.190, 20.590, 0.262
 0.080, 21.227, 0.433
 0.101, 20.014, 0.162
 0.132, 16.655, 0.008
 0.171, 21.115, 0.398
 0.096, 21.198, 0.424
 0.125, 20.556, 0.255
 0.096, 20.902, 0.337
 0.076, 20.188, 0.187
 0.191, 21.652, 0.593
 0.080, 21.503, 0.532
 0.117, 21.341, 0.472
 0.174, 21.753, 0.636
 0.062, 14.267, 0.001
 0.166, 19.711, 0.124
 0.167, 21.141, 0.406
 0.197, 19.794, 0.134
 0.106, 18.084, 0.029
 0.099, 18.925, 0.062
 0.143, 21.344, 0.473
 0.192, 21.882, 0.695
 0.191, 19.678, 0.121
 0.165, 20.930, 0.344
 0.044, 16.613, 0.008
 0.041, 18.542, 0.044
 0.109, 19.192, 0.079
 0.088, 21.681, 0.605
 0.148, 18.183, 0.032
 0.090, 20.883, 0.332
 0.158, 20.554, 0.254
 0.188, 21.734, 0.628
 0.126, 21.367, 0.482
 0.171, 21.172, 0.416
 0.094, 20.175, 0.185
 0.056, 21.176, 0.417
 0.108, 21.235, 0.436
 0.103, 18.921, 0.062
 0.110, 17.751, 0.021
 0.051, 21.682, 0.605
 0.113, 19.472, 0.101
 0.080, 21.947, 0.727
 0.068, 21.667, 0.599
 0.162, 20.474, 0.238
 0.194, 19.223, 0.081
 0.159, 21.310, 0.462
 0.109, 19.295, 0.086
 0.163, 21.706, 0.615
 0.182, 21.969, 0.737
 0.197, 20.329, 0.211
 0.189, 21.813, 0.663
 0.190, 19.400, 0.095
 0.055, 21.398, 0.493
 0.164, 17.993, 0.027
 0.154, 21.929, 0.718
 0.167, 21.476, 0.522
 0.099, 21.253, 0.442
 0.021, 18.389, 0.038
 0.190, 20.360, 0.217
 0.194, 15.978, 0.004
 0.146, 18.781, 0.055
 0.118, 16.756, 0.009
 0.159, 21.122, 0.400
 0.081, 14.856, 0.002
 0.135, 21.203, 0.426
 0.051, 19.923, 0.149
 0.162, 19.669, 0.120
 0.156, 21.796, 0.656
 0.180, 18.988, 0.066
 0.144, 14.078, 0.001
 0.193, 20.632, 0.271
 0.036, 19.822, 0.137
 0.149, 21.324, 0.466
 0.100, 17.184, 0.013
 0.182, 16.946, 0.010
 0.118, 19.403, 0.095
 0.154, 20.336, 0.212
 0.074, 20.596, 0.263
 0.027, 20.808, 0.313
 0.169, 21.393, 0.491
 0.094, 21.902, 0.705
 0.144, 21.917, 0.712
 0.149, 18.682, 0.050
 0.057, 16.307, 0.006
 0.084, 21.548, 0.550
 0.105, 21.078, 0.386
 0.161, 19.786, 0.133
 0.118, 20.250, 0.198
 0.148, 21.374, 0.484
 0.093, 18.609, 0.047
 0.176, 18.692, 0.050
 0.170, 17.835, 0.023
 0.178, 19.257, 0.083
 0.069, 20.902, 0.337
 0.194, 18.972, 0.065
 0.154, 21.697, 0.612
 0.175, 19.236, 0.082
 0.107, 21.755, 0.637
 0.152, 21.646, 0.590
 0.034, 20.123, 0.177
 0.141, 21.942, 0.724
 0.046, 20.240, 0.196
 0.063, 21.114, 0.397
 0.138, 20.420, 0.228
 0.099, 18.618, 0.047
 0.125, 20.378, 0.220
 0.189, 18.594, 0.046
 0.178, 18.755, 0.053
 0.187, 19.562, 0.109
 0.088, 19.762, 0.130
 0.192, 18.179, 0.032
 0.153, 16.133, 0.005
 0.087, 21.656, 0.594
 0.021, 17.571, 0.018
 0.073, 21.676, 0.603
 0.058, 17.470, 0.017
 0.179, 20.768, 0.303
 0.106, 18.452, 0.041
 0.125, 19.476, 0.101
 0.185, 20.342, 0.213
 0.176, 20.586, 0.261
 0.119, 21.814, 0.664
 0.111, 21.876, 0.692
 0.050, 20.665, 0.279
 0.015, 18.253, 0.034
 0.167, 19.396, 0.094
 0.173, 15.724, 0.003
 0.122, 21.203, 0.425
 0.174, 18.520, 0.043
 0.131, 20.854, 0.324
 0.133, 18.487, 0.042
 0.153, 19.181, 0.078
 0.171, 19.863, 0.142
 0.165, 21.444, 0.510
 0.079, 20.868, 0.328
 0.081, 17.390, 0.015
 0.180, 21.107, 0.395
 0.194, 20.132, 0.179
 0.132, 19.837, 0.139
 0.134, 21.472, 0.520
 0.169, 21.307, 0.461
 0.131, 18.335, 0.036
 0.073, 18.095, 0.029
 0.092, 21.095, 0.392
 0.143, 17.673, 0.020
 0.149, 21.786, 0.651
 0.158, 20.790, 0.308
 0.145, 20.869, 0.328
 0.047, 21.143, 0.406
 0.193, 21.040, 0.375
 0.144, 20.998, 0.363
 0.187, 21.153, 0.410
 0.086, 20.424, 0.228
 0.174, 21.767, 0.642
 0.191, 21.312, 0.462
 0.037, 16.613, 0.008
 0.121, 20.406, 0.225
 0.173, 21.776, 0.646
 0.055, 20.351, 0.215
 0.173, 17.505, 0.017
 0.090, 20.517, 0.247
 0.081, 20.188, 0.187
 0.181, 21.990, 0.748
 0.165, 19.940, 0.152
 0.084, 21.147, 0.408
 0.142, 20.546, 0.253
 0.152, 21.914, 0.710
 0.079, 18.012, 0.027
 0.164, 21.604, 0.572
 0.180, 18.715, 0.051
 0.110, 16.339, 0.006
 0.072, 21.680, 0.604
 0.161, 21.512, 0.536
 0.198, 21.400, 0.494
 0.185, 20.092, 0.173
 0.164, 18.392, 0.038
 0.087, 18.846, 0.058
 0.197, 18.883, 0.060
 0.070, 20.130, 0.178
 0.191, 19.029, 0.068
 0.130, 17.644, 0.019
 0.058, 19.982, 0.157
 0.188, 20.186, 0.187
 0.045, 20.330, 0.211
 0.194, 14.714, 0.001
 0.127, 19.082, 0.072
 0.142, 21.359, 0.479
 0.073, 21.853, 0.681
 0.197, 15.996, 0.004
 0.081, 21.240, 0.438
 0.200, 20.430, 0.230
 0.098, 21.182, 0.419
 0.177, 21.923, 0.715
 0.169, 21.776, 0.646
 0.168, 21.545, 0.549
 0.168, 20.816, 0.315
 0.082, 20.981, 0.358
 0.148, 19.288, 0.086
 0.043, 21.761, 0.639
 0.135, 15.388, 0.002
 0.112, 21.438, 0.508
 0.163, 21.149, 0.408
 0.113, 20.122, 0.177
 0.196, 19.092, 0.072
 0.115, 18.394, 0.038
 0.195, 21.626, 0.582
 0.174, 21.659, 0.596
 0.069, 21.382, 0.487
 0.127, 19.827, 0.138
 0.112, 21.329, 0.468
 0.140, 14.458, 0.001
 0.055, 20.206, 0.190
 0.139, 21.153, 0.410
 0.146, 21.007, 0.366
 0.132, 20.308, 0.207
 0.200, 18.016, 0.027
 0.183, 21.659, 0.595
 0.169, 21.961, 0.733
 0.055, 19.036, 0.069
 0.185, 18.598, 0.046
 0.090, 16.650, 0.008
 0.066, 21.356, 0.478
 0.128, 18.230, 0.033
 0.057, 19.729, 0.126
 0.137, 20.992, 0.362
 0.172, 18.064, 0.029
 0.112, 18.964, 0.064
 0.129, 21.366, 0.481
 0.184, 21.674, 0.602
 0.113, 21.706, 0.616
 0.053, 18.114, 0.030
 0.161, 17.112, 0.012
 0.174, 17.790, 0.022
 0.199, 21.383, 0.487
 0.158, 21.888, 0.698
 0.191, 19.230, 0.082
 0.199, 18.771, 0.054
 0.117, 17.870, 0.024
 0.178, 18.976, 0.065
 0.153, 19.443, 0.098
 0.148, 18.725, 0.052
 0.199, 21.501, 0.531
 0.177, 21.425, 0.503
 0.148, 19.740, 0.128
 0.158, 21.414, 0.499
 0.163, 21.816, 0.665
 0.108, 19.942, 0.152
 0.149, 18.435, 0.040
 0.156, 21.267, 0.447
 0.199, 17.489, 0.017
 0.095, 17.726, 0.021
 0.160, 20.979, 0.358
 0.032, 17.839, 0.023
 0.166, 18.522, 0.043
 0.104, 14.734, 0.001
 0.086, 14.983, 0.002
 0.093, 21.531, 0.543
 0.170, 21.321, 0.465
 0.174, 21.230, 0.434
 0.067, 21.941, 0.723
 0.184, 20.674, 0.281
 0.079, 20.937, 0.346
 0.037, 19.624, 0.115
 0.124, 18.841, 0.058
 0.146, 21.093, 0.391
 0.122, 21.870, 0.690
 0.150, 20.097, 0.174
 0.156, 20.082, 0.171
 0.105, 21.445, 0.510
 0.049, 21.367, 0.481
 0.145, 18.974, 0.065
 0.086, 21.832, 0.672
 0.171, 20.407, 0.225
 0.173, 16.002, 0.004
 0.127, 21.883, 0.696
 0.183, 21.573, 0.560
 0.053, 20.132, 0.179
 0.027, 19.525, 0.106
 0.161, 21.429, 0.504
 0.169, 19.761, 0.130
 0.187, 17.576, 0.018
 0.114, 14.449, 0.001
 0.132, 12.991, 0.000
 0.139, 15.890, 0.004
 0.187, 20.248, 0.197
 0.195, 21.851, 0.681
 0.148, 18.629, 0.048
 0.173, 17.388, 0.015
 0.042, 20.277, 0.202
 0.177, 18.020, 0.027
 0.149, 17.737, 0.021
 0.164, 19.378, 0.093
 0.149, 18.901, 0.061
 0.167, 18.598, 0.046
 0.157, 17.975, 0.026
 0.026, 19.340, 0.090
 0.139, 20.615, 0.267
 0.130, 21.776, 0.646
 0.190, 18.198, 0.032
 0.174, 20.835, 0.319
 0.093, 20.919, 0.341
 0.183, 21.069, 0.384
 0.093, 21.156, 0.411
 0.128, 21.120, 0.399
 0.108, 21.387, 0.489
 0.144, 21.716, 0.620
 0.050, 19.432, 0.097
 0.180, 21.208, 0.427
 0.193, 20.935, 0.346
 0.164, 18.760, 0.054
 0.082, 21.156, 0.411
 0.049, 21.338, 0.471
 0.131, 21.091, 0.390
 0.189, 20.348, 0.214
 0.066, 20.569, 0.257
 0.122, 20.277, 0.202
 0.198, 16.055, 0.005
 0.098, 18.895, 0.060
 0.103, 21.876, 0.692
 0.043, 21.126, 0.401
 0.166, 21.942, 0.724
 0.125, 20.774, 0.304
 0.073, 20.165, 0.184
 0.138, 18.870, 0.059
 0.068, 19.164, 0.077
 0.183, 21.808, 0.661
 0.076, 21.099, 0.393
 0.122, 17.586, 0.018
 0.126, 21.100, 0.393
 0.196, 20.028, 0.164
 0.143, 21.727, 0.625
 0.060, 21.328, 0.468
 0.101, 20.788, 0.307
 0.154, 15.904, 0.004
 0.125, 21.580, 0.563
 0.154, 21.801, 0.658
 0.121, 21.412, 0.498
 0.174, 21.642, 0.588
 0.043, 21.745, 0.633
 0.140, 19.625, 0.115
 0.186, 18.856, 0.058
 0.170, 20.842, 0.321
 0.027, 20.222, 0.193
 0.194, 18.233, 0.033
 0.153, 16.524, 0.007
 0.192, 19.532, 0.106
 0.164, 21.227, 0.434
 0.167, 19.572, 0.110
 0.113, 19.380, 0.093
 0.148, 21.696, 0.611
 0.184, 19.926, 0.150
 0.140, 18.897, 0.061
 0.108, 19.726, 0.126
 0.087, 19.829, 0.138
 0.069, 19.140, 0.075
 0.141, 21.980, 0.743
 0.198, 20.577, 0.259
 0.117, 16.813, 0.009
 0.132, 21.822, 0.667
 0.094, 20.489, 0.241
 0.180, 18.366, 0.038
 0.128, 19.367, 0.092
 0.133, 21.108, 0.396
 0.140, 19.120, 0.074
 0.116, 21.594, 0.568
 0.103, 19.507, 0.104
 0.030, 17.744, 0.021
 0.168, 20.922, 0.342
 0.074, 20.406, 0.225
 0.105, 21.897, 0.702
 0.028, 19.533, 0.107
 0.172, 17.467, 0.017
 0.098, 21.729, 0.626
 0.115, 19.530, 0.106
 0.183, 19.973, 0.156
 0.165, 21.660, 0.596
 0.126, 21.057, 0.380
 0.111, 21.999, 0.752
 0.162, 21.865, 0.687
 0.199, 20.051, 0.167
 0.028, 21.027, 0.372
 0.161, 19.343, 0.090
 0.176, 21.513, 0.536
 0.175, 21.894, 0.701
 0.147, 21.830, 0.671
 0.167, 21.846, 0.678
 0.139, 18.885, 0.060
 0.100, 21.639, 0.587
 0.134, 21.371, 0.483
 0.085, 20.982, 0.359
 0.083, 16.579, 0.007
 0.191, 21.827, 0.669
 0.095, 21.003, 0.365
 0.141, 20.891, 0.334
 0.132, 21.938, 0.722
 0.185, 19.939, 0.152
 0.100, 21.849, 0.680
 0.115, 20.659, 0.277
 0.125, 21.636, 0.586
 0.153, 20.361, 0.217
 0.102, 21.375, 0.484
 0.113, 20.341, 0.213
 0.189, 20.405, 0.225
 0.101, 15.697, 0.003
 0.061, 21.579, 0.562
 0.171, 18.782, 0.055
 0.148, 18.882, 0.060
 0.169, 20.963, 0.353
 0.177, 15.783, 0.004
 0.182, 21.699, 0.613
 0.198, 18.772, 0.054
 0.158, 20.872, 0.329
 0.188, 21.814, 0.664
 0.097, 18.666, 0.049
 0.113, 21.112, 0.397
 0.190, 15.508, 0.003
 0.126, 21.856, 0.683
 0.194, 21.978, 0.742
 0.116, 21.650, 0.592
 0.021, 16.936, 0.010
 0.164, 18.588, 0.046
 0.165, 20.379, 0.220
 0.199, 16.795, 0.009
 0.074, 21.433, 0.506
 0.069, 21.076, 0.386
 0.198, 20.202, 0.190
 0.145, 20.514, 0.246
 0.079, 18.386, 0.038
 0.085, 20.085, 0.172
 0.096, 18.927, 0.062
 0.167, 19.004, 0.067
 0.157, 21.715, 0.620
 0.109, 18.842, 0.058
 0.190, 21.730, 0.626
 0.110, 18.011, 0.027
 0.167, 21.404, 0.495
 0.171, 20.933, 0.345
 0.120, 17.606, 0.019
 0.127, 21.916, 0.712
 0.128, 21.959, 0.732
 0.197, 20.860, 0.326
 0.193, 15.869, 0.004
 0.140, 21.524, 0.540
 0.171, 18.952, 0.064
 0.168, 21.432, 0.505
 0.152, 21.857, 0.683
 0.063, 21.752, 0.636
 0.031, 20.787, 0.307
 0.119, 20.634, 0.271
 0.149, 20.701, 0.287
 0.131, 21.577, 0.562
 0.127, 20.576, 0.259
 0.091, 18.720, 0.052
 0.182, 20.711, 0.289
 0.149, 21.150, 0.409
 0.147, 21.788, 0.652
 0.179, 19.673, 0.120
 0.063, 20.580, 0.260
 0.195, 20.689, 0.284
 0.170, 21.645, 0.590
 0.195, 20.577, 0.259
 0.192, 19.012, 0.067
 0.125, 21.840, 0.675
 0.132, 21.676, 0.603
 0.176, 18.729, 0.052
 0.049, 21.876, 0.692
 0.095, 17.131, 0.012
 0.131, 21.221, 0.431
 0.146, 21.152, 0.409
 0.170, 20.586, 0.261
 0.153, 19.797, 0.134
 0.194, 18.777, 0.054
 0.147, 18.310, 0.036
 0.142, 20.280, 0.203
 0.157, 21.222, 0.432
 0.183, 18.672, 0.050
 0.051, 20.304, 0.207
 0.176, 20.453, 0.234
 0.192, 20.370, 0.218
 0.154, 20.171, 0.185
 0.142, 20.413, 0.226
 0.178, 19.882, 0.144
 0.169, 21.273, 0.449
 0.135, 19.476, 0.101
 0.095, 21.918, 0.712
 0.172, 19.888, 0.145
 0.194, 20.827, 0.317
 0.123, 15.837, 0.004
 0.100, 21.313, 0.463
 0.030, 21.187, 0.420
 0.192, 18.764, 0.054
 0.170, 20.936, 0.346
 0.133, 20.197, 0.189
 0.165, 21.518, 0.538
 0.152, 19.801, 0.135
 0.069, 21.677, 0.603
 0.094, 14.584, 0.001
 0.102, 19.317, 0.088
 0.161, 21.967, 0.736
 0.174, 19.374, 0.093
 0.116, 13.335, 0.000
 0.121, 21.897, 0.702
 0.071, 19.915, 0.149
 0.040, 19.460, 0.100
 0.102, 21.785, 0.650
 0.193, 16.904, 0.010
 0.126, 20.615, 0.267
 0.147, 17.563, 0.018
 0.022, 19.072, 0.071
 0.170, 19.480, 0.102
 0.079, 20.141, 0.180
 0.158, 21.395, 0.492
 0.183, 19.071, 0.071
 0.142, 20.018, 0.162
 0.156, 20.159, 0.183
 0.101, 20.744, 0.297
 0.193, 20.317, 0.209
 0.166, 16.648, 0.008
 0.185, 17.967, 0.026
 0.194, 21.820, 0.666
 0.077, 21.977, 0.741
 0.054, 18.821, 0.057
 0.126, 21.130, 0.403
 0.172, 21.758, 0.638
 0.187, 21.628, 0.582
 0.161, 21.937, 0.721
 0.094, 21.617, 0.578
 0.147, 21.314, 0.463
 0.121, 20.630, 0.271
 0.060, 19.793, 0.134
 0.113, 20.743, 0.297
 0.165, 18.579, 0.046
 0.196, 21.591, 0.567
 0.168, 18.789, 0.055
 0.080, 19.454, 0.099
 0.185, 21.423, 0.502
 0.183, 20.461, 0.236
 0.164, 21.146, 0.407
 0.100, 17.132, 0.012
 0.167, 19.021, 0.068
 0.119, 20.156, 0.182
 0.194, 19.131, 0.075
 0.067, 20.710, 0.289
 0.194, 15.823, 0.004
 0.185, 21.377, 0.485
 0.136, 20.433, 0.230
 0.157, 21.651, 0.592
 0.170, 21.198, 0.424
 0.193, 20.681, 0.282
 0.033, 20.894, 0.335
 0.137, 20.087, 0.172
 0.114, 21.644, 0.589
 0.047, 17.749, 0.021
 0.089, 21.609, 0.574
 0.152, 20.729, 0.293
 0.118, 21.800, 0.657
 0.163, 16.832, 0.009
 0.186, 18.501, 0.042
 0.103, 19.003, 0.067
 0.077, 15.766, 0.003
 0.186, 15.866, 0.004
 0.098, 21.219, 0.431
 0.146, 19.549, 0.108
 0.111, 18.330, 0.036
 0.125, 21.937, 0.722
 0.067, 18.269, 0.034
 0.113, 16.075, 0.005
 0.059, 21.635, 0.585
 0.095, 21.911, 0.709
 0.125, 21.617, 0.578
 0.192, 21.679, 0.604
 0.114, 21.988, 0.746
 0.042, 20.363, 0.217
 0.188, 20.755, 0.300
 0.092, 19.646, 0.118
 0.098, 17.378, 0.015
 0.062, 21.551, 0.551
 0.159, 20.387, 0.221
 0.169, 21.099, 0.393
 0.119, 20.613, 0.267
 0.101, 20.042, 0.166
 0.108, 15.535, 0.003
 0.187, 20.920, 0.342
 0.180, 18.701, 0.051
 0.082, 21.918, 0.712
 0.193, 21.338, 0.471
 0.173, 17.177, 0.013
 0.175, 21.936, 0.721
 0.148, 20.604, 0.265
 0.119, 21.667, 0.599
 0.199, 21.601, 0.571
 0.148, 21.586, 0.565
 0.144, 17.726, 0.021
 0.089, 21.891, 0.700
 0.142, 20.898, 0.336
 0.165, 21.191, 0.422
 0.123, 19.985, 0.158
 0.120, 21.656, 0.594
 0.159, 14.221, 0.001
 0.157, 21.581, 0.563
 0.157, 21.036, 0.374
 0.108, 21.199, 0.424
 0.090, 20.427, 0.229
 0.065, 18.745, 0.053
 0.063, 21.252, 0.442
 0.088, 21.471, 0.520
 0.193, 20.577, 0.259
 0.058, 19.662, 0.119
 0.142, 16.263, 0.005
 0.122, 20.719, 0.291
 0.044, 21.329, 0.468
 0.105, 17.953, 0.026
 0.179, 20.925, 0.343
 0.134, 20.450, 0.233
 0.177, 20.571, 0.258
 0.120, 21.857, 0.683
 0.192, 18.325, 0.036
 0.062, 21.417, 0.500
 0.173, 21.694, 0.610
 0.098, 13.024, 0.000
 0.113, 15.402, 0.002
 0.026, 15.507, 0.003
 0.114, 21.174, 0.416
 0.099, 20.881, 0.331
 0.115, 21.157, 0.411
 0.122, 21.819, 0.666
 0.121, 17.216, 0.013
 0.035, 20.680, 0.282
 0.185, 20.912, 0.340
 0.174, 21.882, 0.695
 0.197, 21.204, 0.426
 0.158, 21.875, 0.692
 0.174, 20.256, 0.199
 0.063, 17.595, 0.019
 0.116, 17.460, 0.016
 0.155, 21.155, 0.410
 0.083, 19.965, 0.155
 0.082, 20.498, 0.243
 0.087, 16.053, 0.005
 0.125, 21.376, 0.485
 0.129, 20.616, 0.268
 0.144, 21.970, 0.738
 0.107, 18.712, 0.051
 0.092, 20.810, 0.313
 0.185, 21.835, 0.673
 0.167, 18.189, 0.032
 0.109, 20.982, 0.359
 0.117, 21.776, 0.646
 0.116, 15.602, 0.003
 0.138, 21.173, 0.416
 0.124, 19.881, 0.144
 0.112, 21.412, 0.498
 0.170, 18.514, 0.043
 0.105, 20.277, 0.202
 0.145, 21.193, 0.422
 0.181, 20.360, 0.217
 0.173, 18.931, 0.062
 0.188, 20.697, 0.286
 0.102, 20.180, 0.186
 0.032, 18.412, 0.039
 0.085, 21.117, 0.399
 0.168, 20.506, 0.245
 0.172, 17.810, 0.023
 0.091, 20.570, 0.258
 0.050, 21.822, 0.667
 0.061, 20.141, 0.180
 0.161, 17.301, 0.014
 0.159, 20.162, 0.183
 0.189, 19.772, 0.131
 0.100, 19.849, 0.140
 0.158, 20.813, 0.314
 0.117, 21.961, 0.733
 0.127, 20.937, 0.346
 0.179, 19.773, 0.131
 0.175, 21.747, 0.633
 0.103, 19.824, 0.137
 0.182, 21.356, 0.477
 0.143, 19.920, 0.149
 0.105, 19.652, 0.118
 0.092, 16.958, 0.010
 0.091, 19.726, 0.126
 0.098, 13.981, 0.001
 0.162, 20.895, 0.335
 0.104, 20.153, 0.182
 0.200, 21.133, 0.403
 0.180, 21.547, 0.550
 0.174, 19.729, 0.126
 0.109, 14.269, 0.001
 0.160, 21.376, 0.485
 0.160, 21.550, 0.551
 0.120, 21.470, 0.520
 0.149, 20.594, 0.263
 0.114, 19.123, 0.074
 0.067, 21.041, 0.376
 0.181, 21.807, 0.660
 0.153, 19.802, 0.135
 0.176, 18.453, 0.041
 0.137, 20.141, 0.180
 0.147, 17.098, 0.012
 0.187, 21.587, 0.566
 0.187, 20.672, 0.280
 0.182, 17.343, 0.015
 0.147, 21.731, 0.626
 0.133, 14.820, 0.001
 0.198, 20.942, 0.348
 0.194, 19.144, 0.076
 0.080, 16.380, 0.006
 0.171, 21.507, 0.534
 0.183, 18.808, 0.056
 0.154, 17.142, 0.012
 0.147, 19.005, 0.067
 0.172, 21.674, 0.602
